strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/France/PAC-HCL021019345501/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359776	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021019344801/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359774	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021019354801/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359784	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021019340901/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359771	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021019302501/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359754	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021019353201/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote dAzur	Provence-Alpes-Cote dAzur	EPI_ISL_1359783	BIOESTEREL BIOGROUP	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Le Muy
hCoV-19/France/PAC-HCL021023030301/2021	2021-01-27	20I/501Y.V1	France	Provence-Alpes-Cote d'Azur	Provence-Alpes-Cote d'Azur	EPI_ISL_1135027	CENTRE HOSPITALIER INTERCOMMUNAL	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Frejus
hCoV-19/Germany/NW-RKI-I-012932/2021	2021-01-27	20I/501Y.V1	Germany	North Rhine-Westphalia	North Rhine-Westphalia	EPI_ISL_1143066	LabKom - MVZ Labor Bochum MLB GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Germany/SH-RKI-I-015345/2021	2021-01-27	20I/501Y.V1	Germany	Schleswig-Holstein	Schleswig-Holstein	EPI_ISL_1145507	LADR Zentrallabor DR. Kramer & Kollegen Geesthacht	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Austria/CeMM3518/2021	2021-01-27	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_1117833	HG Pharma GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Innsbruck-Land
hCoV-19/Germany/SL-SU-20291038/2021	2021-01-27	20I/501Y.V1	Germany	Saarland	Saarland	EPI_ISL_1091105	Virology, Universitätsklinikum des Saarlandes	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Epigenetics, Saarland University	NA	Kathrin Kattler, Markus Vogelgesang, Stefan Lohse, Sascha Tierling, Thorsten Pfuhl, Sigrun Smola, Jörn Walter	NA	
hCoV-19/Switzerland/ZH-UZH-IMV-3ba3d605/2021	2021-01-27	20I/501Y.V1	Switzerland	Zurich	Zurich	EPI_ISL_1082336	Spital Männedorf AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Virology, University of Zurich	NA	Verena Kufner, Gabriela Ziltener, Stefan Schmutz, Maryam Zaheri, Annette Audigé, Maria Grünberg, Kevin Steiner, Jon Huder, Cyril Shah, Riccarda Capaul, Guido Bloemberg, Jürg Böni, Michael Huber, Alexandra Trkola	NA	
hCoV-19/England/CAMC-13598BF/2021	2021-01-27	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1333836	Lighthouse Lab in Cambridge	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	NA	Rob Howes, The Lighthouse Lab in Cambridge and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	NA	
hCoV-19/Poland/NIPH-NIH_ECDC-027/2021	2021-01-27	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1133207	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH"	NA	Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team	NA	Warsaw
hCoV-19/France/ARA-HCL021022362801/2021	2021-01-27	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1134930	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Lyon
hCoV-19/England/LOND-12F8DC3/2021	2021-01-27	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309066	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/Poland/Pomorskie_MWB_82/2021	2021-01-27	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040999	Medical Laboratory Bruss	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Maciej Grzybek, Pawel Pisarek, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Poland/NIPH-NIH_ECDC-031/2021	2021-01-27	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091415	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH"	NA	Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team	NA	Warsaw
hCoV-19/Germany/SL-SU-21003884/2021	2021-01-27	20I/501Y.V1	Germany	Saarland	Saarland	EPI_ISL_1091110	Virology, Universitätsklinikum des Saarlandes	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Epigenetics, Saarland University	NA	Kathrin Kattler, Markus Vogelgesang, Stefan Lohse, Sascha Tierling, Thorsten Pfuhl, Sigrun Smola, Jörn Walter	NA	
hCoV-19/Germany/SL-SU-21003581/2021	2021-01-27	20I/501Y.V1	Germany	Saarland	Saarland	EPI_ISL_1091123	Virology, Universitätsklinikum des Saarlandes	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Epigenetics, Saarland University	NA	Kathrin Kattler, Markus Vogelgesang, Stefan Lohse, Sascha Tierling, Thorsten Pfuhl, Sigrun Smola, Jörn Walter	NA	
hCoV-19/England/LIVE-DEE8E5/2021	2021-01-27	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1546025	Liverpool Clinical Laboratories	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sam Haldenby, Alistair Darby,  Steve Paterson, Anita Lucaci, Julian Hiscox, M Almsaud, A Alrezaihi, Muhannad Alruwaili, Stuart D Armstrong, Jones Benjamin, Eleanor G Bentley, Anu Chawla, Jordan J Clark, Angela Cowell, Richard Eccles, Isabel García-Dorival, Matthew Gemmell, Alessandro Gerada, PKF Gilmore, Richard Gregory, Ximeng Han, Catherine Hartley, Margaret Hughes, Miren Iturriza-Gomara, James Johnson, L Luu, Jenifer Manson, Charlotte Nelson, Elaine O’Toole, Cassie Olateju, Rebekah Penrice-Randal , Lucille Rainbow, N.P Randle, Trevor Ian Robinson, Parul Sharma, Ghada T Shawli, James P Stewart, Neil Swainston, Ecaterina Vamos, Joanne Watts, Mark Whitehead, Hermione Webster	NA	
hCoV-19/Austria/CeMM3517/2021	2021-01-27	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_1117872	HG Pharma GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Imst
hCoV-19/Germany/RP-RKI-I-012979/2021	2021-01-27	20I/501Y.V1	Germany	Rhineland-Palatinate	Rhineland-Palatinate	EPI_ISL_1143113	LabKom - Labor Mainz MVZ GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/CzechRepublic/NRL-2002-21/2021	2021-01-27	20I/501Y.V1	Czech Republic	Kralovehradecky region	Kralovehradecky region	EPI_ISL_1492089	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Institute of Public Health	NA	Helena Jirincova, Jaromira Vecerova, Timotej Suri, Dusan Trnka, Alexander Nagy	NA	
hCoV-19/CzechRepublic/NRL-1671/2021	2021-01-27	20I/501Y.V1	Czech Republic	Hradec Kralove Region	Hradec Kralove Region	EPI_ISL_1510351	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague	NA	"Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J"	NA	
hCoV-19/Austria/CeMM3725/2021	2021-01-27	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_1008345	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Wien-Stadt
hCoV-19/CzechRepublic/IAB20_016_partD_81/2021	2021-01-27	20I/501Y.V1	Czech Republic	Prague	Prague	EPI_ISL_1391339	Motol University Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Applied Biotechnologies a.s.	NA	Petr Klempt, Ondřej Brzoň, Martin Kašný, Kateřina Kvapilová, Pavel Dřevínek, Petr Kvapil	NA	
hCoV-19/CzechRepublic/NRL-1673/2021	2021-01-27	20I/501Y.V1	Czech Republic	Hradec Kralove Region	Hradec Kralove Region	EPI_ISL_1510352	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague	NA	"Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J"	NA	
hCoV-19/CzechRepublic/NRL-1495/2021	2021-01-27	20I/501Y.V1	Czech Republic	Central Bohemian Region	Central Bohemian Region	EPI_ISL_1510340	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague	NA	"Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J"	NA	
hCoV-19/CzechRepublic/IAB20_016_partD_48/2021	2021-01-27	20I/501Y.V1	Czech Republic	Zlonice	Zlonice	EPI_ISL_1391326	Motol University Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Applied Biotechnologies a.s.	NA	Petr Klempt, Ondřej Brzoň, Martin Kašný, Kateřina Kvapilová, Pavel Dřevínek, Petr Kvapil	NA	
hCoV-19/Austria/CeMM3305/2021	2021-01-27	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1008298	Klinikum Wels-Grieskirchen	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Wels-Stadt
hCoV-19/Germany/SL-SU-10474401/2021	2021-01-27	20I/501Y.V1	Germany	Saarland	Saarland	EPI_ISL_1091132	Virology, Universitätsklinikum des Saarlandes	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Epigenetics, Saarland University	NA	Kathrin Kattler, Markus Vogelgesang, Stefan Lohse, Sascha Tierling, Thorsten Pfuhl, Sigrun Smola, Jörn Walter	NA	
hCoV-19/France/ARA-HCL021022286701/2021	2021-01-28	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1297326	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Lyon
hCoV-19/Poland/NIPH-NIH_ECDC-036/2021	2021-01-28	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091407	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH"	NA	Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team	NA	Warsaw
hCoV-19/Switzerland/GE-33100169/2021	2021-01-28	20I/501Y.V1	Switzerland	Geneva	Geneva	EPI_ISL_981560	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center	NA	Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis	NA	
hCoV-19/Switzerland/BL-UHB-42664326/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Land	Basel-Land	EPI_ISL_1388174	Rothen Medizinische Laboratorien AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology	NA	Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Ingrid Steffen, Manuel Battegay, Hans Hirsch, Adrian Egli	NA	Reinach
hCoV-19/Switzerland/BL-UHB-42664293/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Land	Basel-Land	EPI_ISL_1388170	Rothen Medizinische Laboratorien AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology	NA	Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Ingrid Steffen, Manuel Battegay, Hans Hirsch, Adrian Egli	NA	Allschwil
hCoV-19/Scotland/EDB14584/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1047865	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K	NA	
hCoV-19/Scotland/EDB14581/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1047863	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K	NA	
hCoV-19/Scotland/CVR6856/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1047808	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	"Ana da Silva Filipe, Natasha Johnson, Kathy Smollett, Daniel Mair, Stephen Carmichael, Alice Broos, Lily Tong, Jenna Nichols, Kyriaki Nomikou; Sarah McDonald; Richard Orton, Joseph Hughes, Sreenu Vattipally, David L Robertson; Alasdair MacLean, Rory Gunson; Sharif Shaaban, Matthew Holden; Rachel Blacow, Guy Mollett, Kathy Li, James Shepherd, Antonia Ho, Emma Thomson"	NA	
hCoV-19/Scotland/CVR6975/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1050220	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	"Ana da Silva Filipe, Natasha Johnson, Kathy Smollett, Daniel Mair, Stephen Carmichael, Alice Broos, Lily Tong, Jenna Nichols, Kyriaki Nomikou; Sarah McDonald; Richard Orton, Joseph Hughes, Sreenu Vattipally, David L Robertson; Alasdair MacLean, Rory Gunson; Sharif Shaaban, Matthew Holden; Rachel Blacow, Guy Mollett, Kathy Li, James Shepherd, Antonia Ho, Emma Thomson"	NA	
hCoV-19/England/CAMC-1380B10/2021	2021-01-28	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1489498	Lighthouse Lab in Cambridge	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	NA	Rob Howes, The Lighthouse Lab in Cambridge and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	NA	
hCoV-19/Scotland/CVR6865/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1047817	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	"Ana da Silva Filipe, Natasha Johnson, Kathy Smollett, Daniel Mair, Stephen Carmichael, Alice Broos, Lily Tong, Jenna Nichols, Kyriaki Nomikou; Sarah McDonald; Richard Orton, Joseph Hughes, Sreenu Vattipally, David L Robertson; Alasdair MacLean, Rory Gunson; Sharif Shaaban, Matthew Holden; Rachel Blacow, Guy Mollett, Kathy Li, James Shepherd, Antonia Ho, Emma Thomson"	NA	
hCoV-19/Scotland/CVR6849/2021	2021-01-28	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1047804	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	"Ana da Silva Filipe, Natasha Johnson, Kathy Smollett, Daniel Mair, Stephen Carmichael, Alice Broos, Lily Tong, Jenna Nichols, Kyriaki Nomikou; Sarah McDonald; Richard Orton, Joseph Hughes, Sreenu Vattipally, David L Robertson; Alasdair MacLean, Rory Gunson; Sharif Shaaban, Matthew Holden; Rachel Blacow, Guy Mollett, Kathy Li, James Shepherd, Antonia Ho, Emma Thomson"	NA	
hCoV-19/Switzerland/BL-ETHZ-471412/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Landschaft	Basel-Landschaft	EPI_ISL_1129865	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich	NA	Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler	NA	
hCoV-19/Poland/NIPH-NIH_ECDC-041/2021	2021-01-28	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091408	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH"	NA	Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team	NA	Warsaw
hCoV-19/Austria/CeMM3397/2021	2021-01-28	20I/501Y.V1	Austria	Upper Austria	Upper Austria	EPI_ISL_1117813	Institut für Pathologie,  Salzkammergut Klinikum Vöcklabruck	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Vöcklabruck
hCoV-19/Switzerland/BL-ETHZ-471415/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Landschaft	Basel-Landschaft	EPI_ISL_1129756	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich	NA	Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler	NA	
hCoV-19/Switzerland/BL-ETHZ-471416/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Landschaft	Basel-Landschaft	EPI_ISL_1129757	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich	NA	Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler	NA	
hCoV-19/France/un-21012280352/2021	2021-01-28	20I/501Y.V1	France			EPI_ISL_982137	Hôpital Henri Mondor	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	NA	Christophe Rodriguez, Slim Fourati, Vanessa Demontant, Guillaume Gricourt, Melissa N'Debi, Alexandre Soulier, Elisabeth Trawinski, Jean-Michel Pawlotsky	NA	
hCoV-19/Austria/CeMM5639/2021	2021-01-28	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_1495595	IMP - Research Institute of Molecular Pathology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	Wien-Stadt
hCoV-19/France/ARA-HCL021022752101/2021	2021-01-28	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1134952	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset	NA	Lyon
